"Gender not selected", "Geschlecht nicht ausgewählt"
"Birthday not selected", "Geburtstag nicht ausgewählt"
"Birthday is invalid", "Geburtstag ist ungültig"
"Provided date is not valid", "Das angegebene Datum ist ungültig"
"Internal invoice (InvoiceObserver) error", "Interner Rechnungsfehler (InvoiceObserver)"
"Invalid payment plan", "Ungültiger Zahlungsplan"
"Please select installment send way", "Bitte wählen Sie die Rate send way"
"Invoice send way invalid address", "Ungültige Rechnungsadresse senden"
"Provide information", "Informationen bereitstellen"
"Gender", "Geschlecht"
"Date of birth", "Geburtsdatum"
"Select invoice delivery method", "Rechnungsauslieferungsmethode auswählen"
"Place Order", "Bestellung aufgeben"
"Select payment plan", "Zahlungsplan auswählen"
"(T&C)", "(AGB)"
"Delivery method by E-Mail", "Rechnungsversand via E-Mail"
"Delivery method by Post", "Rechnungsversand in Papierform via Post"
"DD.MM.YYYY", "TT.MM.JJJJ"
"Company registration number", "Handelsregisternummer"
"Company registration number not provided", "Firmenregistrierungsnummer nicht angegeben"
