"Gender not selected", "Titolo non selezionato"
"Birthday not selected", "Birthday non selezionati"
"Birthday is invalid", "Birthday non è valido"
"Provided date is not valid", "data prevista non è valido"
"Internal invoice (InvoiceObserver) error", "fattura interno (InvoiceObserver) errore"
"Invalid payment plan", "piano di pagamento non valido"
"Please select installment send way", "Selezionare modo di invio rata"
"Invoice send way invalid address", "Fattura inviare via indirizzo non valido"
"Provide information", "Fornire informazioni"
"Gender", "Titolo"
"Date of birth", "Data di nascita"
"Select invoice delivery method", "Seleziona il metodo di consegna della fattura"
"Place Order", "Invia ordine"
"Select payment plan", "Seleziona il piano di pagamento"
"(T&C)", "(AGB)"
"Delivery method by E-Mail", "Invio fattura tramite e-mail"
"Delivery method by Post", "Invio fattura cartacea tramite posta"
"DD.MM.YYYY", "GG.MM.AAAA"
"Company registration number", "Numero di registrazione della società"
"Company registration number not provided", "Numero di registrazione della società non fornito"
